
"Id";"Designator";"Quantity";"Designation";""
"";"";"";"";""
"Resistors";"";"";"";""
"17";"R7,R6";"2";"220r";""
"16";"R33,R32,R1";"3";"430r";""
"6";"R34,R37,R35,R5,R3,R4,R36";"7";"10k";""
"2";"R9,R13,R25,R31,R24,R19,R16";"7";"20k";""
"3";"R17,R8,R28,R11,R22,R20,R2,R14";"8";"100k";""
"9";"R21,R12,R15,R18,R23,R29,R10";"7";"120k";""
"";"";"";"";""
"Diodes";"";"";"";""
"23";"D2,D3,D7,D6";"4";"1N4148";""
"";"";"";"";""
"Capacitors";"";"";"";""
"8";"C8,C11,C13,C16,C9,C10,C12";"7";"1n";""
"11";"C5,C7,C4,C14";"4";".1uf";""
"24";"C6";"1";"10uf";""
"";"";"";"";""
"E-Capacitors";"";"";"";""
"19";"C3,C2,C1";"3";"10uf";""
"";"";"";"";""
"ICs";"";"";"";""
"4";"U3,U4";"2";"MCP6004";""
"12";"TL072";"1";"TL072";""
"28";"U2";"1";"6N138";""
"26";"U6";"1";"Teensy3.2";""
"";"";"";"";""
"Transistors";"";"";"";""
"32";"Q3,Q1,Q2";"3";"PN2222A";""
"35";"U1";"1";"L7805";""
"";"";"";"";""
"Headers";"";"";"";""
"7";"PWR";"1";"10Pin-PowerShrouded";""
"21";"J20";"1";"01x05_Pin";""
"27";"J15";"1";"01x02_Pin Midi A/B";""
"31";"J18";"1";"01x01_Pin A14/DAC";""
"37";"J16,J17";"2";"01x13_Socket";""
"38";"J1,J11";"2";"01x13_Pin";""
"39";"J3.2";"2";"01x14_Socket";""
"";"";"";"";""
"Pots";"";"";"";""
"5";"RV6,RV2,RV1,RV7,RV3,RV5,RV4";"7";"10k";""
"";"";"";"";""
"Jacks";"";"";"";""
"1";"J4";"1";"MIDI In-TRS";" PJ366ST Stereo Thonkicon"
"13";"J6";"1";"CV-H-P";" PJ398SM Mono Thonkicon"
"14";"J5";"1";"CV-K-P";""
"18";"J2";"1";"AudioOut";""
"20";"J3";"1";"Gate-K";""
"22";"J8";"1";"CV-Drive";""
"25";"J10";"1";"CV-S-D";""
"30";"J9";"1";"CV-K-D";""
"33";"J13";"1";"Gate-H";""
"34";"J7";"1";"CV-S-P";""
"36";"J14";"1";"Gate-S";""
"29";"J12";"1";"CV-H-D";""
"";"";"";"";""
"LEDs 5mm";"";"";"";""
"15";"D5,D4,D1";"3";"LED";""
"";"";"";"";""
"Switches";"";"";"";""
"10";"SW1";"1";"Shift";"https://www.thonk.co.uk/shop/radio-music-switch/"
